Animal,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Asses,103.4832456,99.6784796,99.0397212,101.1312652,102.9456036,104.4149036,106.17327,107.2837164,107.3697772,108.7954588,110.9821328,111.1673948,110.1029244,111.0949784,111.2498436,110.6413644,110.0570296,109.8105456,109.3320228,108.9242672,110.2207988,112.7373744,114.119012,113.7026604,114.4198244,117.0235192,118.4129352,120.0316068,121.7553064,122.5264236,123.1665652,124.1809492,118.0004448,118.7151224,119.9776116,117.4097904,115.0728852,115.532858,116.8898164,116.5502828,117.4257056,119.0323456,118.4903356,118.2170724,118.4263892,119.3501764,119.9127972,119.4849348,120.3635104,121.7095656,122.6455216,124.0593368,118.9618416,119.7333312
Buffalo,432.7768543,437.5838523,439.8687615,457.4725309,462.4304048,484.5881166,495.7482929,511.5670217,520.5013828,525.5874456,532.6708807,537.2041549,544.5087417,553.9152374,553.847539,557.7243161,562.7205178,571.5239509,582.9707527,595.3197817,608.6389078,624.9579511,637.4531079,652.5500324,667.5846436,694.9646333,694.6344076,703.7524697,713.6527433,726.102629,736.0514371,750.6534322,758.5643793,767.1432699,776.82395,781.6873372,780.0353708,787.2687263,795.1541003,804.1606776,814.7775762,827.6059869,841.0109316,853.0413577,867.4224657,884.7179271,901.3995018,910.6138832,917.9940182,922.1086364,932.7891958,942.2534674,945.7232162,952.8722721
Cattle,6124.137949,6221.621335,6307.488876,6419.2388,6557.904756,6680.381351,6823.588057,6920.344197,6954.269985,7030.669516,7128.201672,7275.645072,7401.697056,7583.991539,7721.529348,7797.86332,7830.508537,7840.426458,7871.952985,7910.619314,7985.832342,8074.844057,8121.223669,8159.383206,8190.083863,8233.225221,8232.742427,8268.905626,8379.691684,8428.133298,8422.929398,8457.038759,8447.368735,8508.703177,8530.372481,8501.764356,8502.851169,8454.236187,8457.660296,8468.815381,8525.721133,8634.644993,8757.773551,8888.183239,9019.292133,9158.671542,9282.505726,9365.768984,9416.086557,9449.224447,9430.620784,9512.192918,9520.358237,9584.422777
Goats,122.0543776,127.2812867,129.4495836,128.9131921,128.5985005,129.0747213,129.6860471,131.9635139,132.2429073,132.1927768,133.5762082,134.6964948,134.7708978,137.9741906,141.9081332,145.650561,147.8399545,153.6727143,159.2009955,162.5131158,165.9174479,168.5721919,171.9688075,169.3648366,170.1274785,174.8594915,182.7755318,190.832816,200.7015406,206.1534927,208.1748953,211.1229551,213.7476779,223.7173911,234.1559553,238.0241927,242.9673568,250.1908021,256.6243659,262.9988844,269.935302,276.6668482,285.379296,297.171153,309.1368186,312.4788667,324.4935845,330.1440209,333.0814207,334.424467,335.6135307,341.3872441,346.7380914,353.9381416
Horses,289.0496172,279.0099045,272.7246251,268.6994781,272.8318262,275.4223505,277.4030505,280.1938457,279.4712543,283.6371381,285.7858055,284.1646853,283.9007094,286.1547411,288.2223078,286.8179334,281.9839004,279.1945607,277.9524434,277.261193,276.8879142,276.6307041,276.9818117,276.460649,279.0885174,279.7010154,279.8220084,278.9177648,280.0445714,283.6719387,284.3669928,283.9719614,275.1319533,275.3964128,277.7383853,275.3998863,269.4279471,268.1856299,268.4323914,268.5883896,268.7722041,264.4098717,268.3032749,271.6498473,275.9714457,276.9423192,278.0628855,277.903916,279.964968,277.9062921,277.2966632,273.4738377,272.4602819,273.5698277
Mules,24.72509696,26.02721044,24.96142736,25.3951458,24.99498656,25.02232716,25.38290212,27.76575164,28.01736304,29.27980256,29.40693104,29.8207358,30.4331204,31.17572036,31.75225892,31.88499004,32.04381804,32.1868718,32.76280148,30.51137092,31.11634984,31.68558656,32.09095432,32.54547852,32.94412972,33.35295252,33.94926316,34.35068028,34.78130476,34.99931212,35.27505452,35.56742784,35.43943324,35.14643452,34.31540772,32.44993864,30.90538944,30.82479308,30.80463868,30.52114368,30.17529512,29.9001734,29.3129464,28.84933856,28.23262808,27.89895712,27.55983928,26.29648172,26.15606172,24.70222148,24.80011192,24.51936868,24.2318428,23.9708386
Pigs,1271.344539,1323.867511,1401.804423,1436.868051,1553.808663,1597.647177,1713.957645,1712.138981,1682.825135,1712.833424,1935.626073,2094.4023,2141.336766,2152.171665,2146.085927,2135.822842,2226.195091,2308.221909,2394.315538,2497.043675,2443.361302,2408.3275,2430.443059,2466.949141,2483.554176,2584.05709,2616.147224,2596.342305,2642.381989,2658.595151,2675.749836,2676.87945,2657.146937,2662.306893,2645.023299,2616.264743,2599.058782,2620.012345,2665.407715,2679.600027,2675.865067,2703.559588,2732.764654,2730.459807,2766.226477,2826.937822,2877.058891,2896.416923,2945.570228,3050.769584,3031.4541,3040.450813,3056.539955,3085.157432
Sheep,874.9564877,877.5299474,879.7331127,891.8678111,907.1732868,915.8058721,932.0560753,945.1399038,951.0344149,935.6798986,938.5164712,913.2588881,895.5764083,905.417245,922.1711347,922.2711854,913.3559574,924.4772636,940.9953203,966.8332106,979.218878,995.6919694,991.7720498,985.1967805,984.5280746,991.3396812,1005.037737,1023.182904,1053.580993,1060.907478,1040.244375,1019.823599,984.3059503,975.8213722,944.085883,924.8218892,917.5031052,921.6244778,929.788134,932.4438869,914.715582,910.1899391,920.5834053,950.4358952,981.8798942,988.2408404,1000.82611,990.0004092,981.2273055,982.7297242,1002.419279,1019.702352,1040.873167,1052.14958
Turkeys,18.38169,15.66693,14.51358,13.83822,13.9311,14.99895,15.67422,13.96845,14.2155,16.10739,18.15165,19.20888,20.11851,20.86965,20.53764,20.50398,22.22316,24.04332,26.60661,28.24983,29.11185,28.97451,29.54025,29.4561,30.89493,33.17265,35.78211,35.93907,37.49436,39.55518,39.89466,38.73528,39.13803,39.61701,40.65309,42.57351,42.49431,41.71977,40.60908,41.10174,41.84541,41.57613,41.44068,41.12577,40.06854,40.77063,42.37182,43.45713,41.01741,41.28669,42.07635,42.95169,41.74686,41.65857
Chicken,136.73415,141.70548,145.709585,148.092735,152.23859,155.597015,163.327885,168.81095,174.59533,182.340655,188.3399,193.86038,198.18316,203.13825,206.263995,212.15586,219.063915,230.56677,242.339265,252.651245,262.98748,271.186825,278.557475,289.619155,301.49651,317.069235,334.590375,347.60187,358.847125,371.71148,386.86438,403.248615,415.091075,437.76278,452.78387,473.152925,494.67796,457.56067,477.244145,503.193425,523.88742,557.153905,563.648295,585.042045,602.54978,616.25662,644.651175,663.566365,688.21823,704.5192,696.741535,716.08873,745.88318,749.338905
